38 Provinsi,,,,,,,,,
,Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2023,,,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,189.16,-,-,617.59,-,-,806.75,-,-
SUMATERA UTARA,709.98,-,-,529.73,-,-,1239.71,-,-
SUMATERA BARAT,133.79,-,-,206.57,-,-,340.37,-,-
RIAU,196.5,-,-,289.16,-,-,485.66,-,-
JAMBI,125.3,-,-,155.39,-,-,280.68,-,-
SUMATERA SELATAN,371.75,-,-,673.93,-,-,1045.68,-,-
BENGKULU,97.66,-,-,190.8,-,-,288.46,-,-
LAMPUNG,232.96,-,-,737.71,-,-,970.67,-,-
KEP. BANGKA BELITUNG,31.09,-,-,37.6,-,-,68.69,-,-
KEP. RIAU,111.9,-,-,30.6,-,-,142.5,-,-
DKI JAKARTA,477.83,-,-,-,-,-,477.83,-,-
JAWA BARAT,2914.24,-,-,974.36,-,-,3888.6,-,-
JAWA TENGAH,1821.66,-,-,1969.84,-,-,3791.5,-,-
DI YOGYAKARTA,312.83,-,-,135.63,-,-,448.47,-,-
JAWA TIMUR,1703.74,-,-,2485.07,-,-,4188.81,-,-
BANTEN,623.19,-,-,202.93,-,-,826.13,-,-
BALI,123.82,-,-,69.96,-,-,193.78,-,-
NUSA TENGGARA BARAT,383.53,-,-,367.7,-,-,751.23,-,-
NUSA TENGGARA TIMUR,135.57,-,-,1005.55,-,-,1141.11,-,-
KALIMANTAN BARAT,87.39,-,-,265.96,-,-,353.35,-,-
KALIMANTAN TENGAH,57.1,-,-,85.06,-,-,142.17,-,-
KALIMANTAN SELATAN,83.99,-,-,104.93,-,-,188.93,-,-
KALIMANTAN TIMUR,122.43,-,-,108.64,-,-,231.07,-,-
KALIMANTAN UTARA,24.75,-,-,23.22,-,-,47.97,-,-
SULAWESI UTARA,69.03,-,-,119.97,-,-,189,-,-
SULAWESI TENGAH,92.11,-,-,303.55,-,-,395.66,-,-
SULAWESI SELATAN,211.48,-,-,577.37,-,-,788.85,-,-
SULAWESI TENGGARA,79.89,-,-,241.64,-,-,321.53,-,-
GORONTALO,24.12,-,-,159.6,-,-,183.71,-,-
SULAWESI BARAT,26.33,-,-,137.81,-,-,164.14,-,-
MALUKU,43.33,-,-,258.28,-,-,301.61,-,-
MALUKU UTARA,23.4,-,-,60.39,-,-,83.8,-,-
PAPUA BARAT,35.84,-,-,179.14,-,-,214.98,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,58.67,-,-,856.48,-,-,915.15,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,11736.36,-,-,14162.19,-,-,25898.55,-,-
