38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2023
ACEH,3458.3
SUMATERA UTARA,12472.84
SUMATERA BARAT,3810.84
RIAU,8212.56
JAMBI,2371.18
SUMATERA SELATAN,6278.5
BENGKULU,1155.97
LAMPUNG,5761.91
KEP. BANGKA BELITUNG,1610.81
KEP. RIAU,4209.39
DKI JAKARTA,36992.35
JAWA BARAT,58564.31
JAWA TENGAH,28431.75
DI YOGYAKARTA,3564.23
JAWA TIMUR,41886.3
BANTEN,26971.4
BALI,6354.53
NUSA TENGGARA BARAT,2572.6
NUSA TENGGARA TIMUR,1333.25
KALIMANTAN BARAT,3308.59
KALIMANTAN TENGAH,1831.08
KALIMANTAN SELATAN,3693.87
KALIMANTAN TIMUR,4803.87
KALIMANTAN UTARA,263.04
SULAWESI UTARA,2095.38
SULAWESI TENGAH,1602.92
SULAWESI SELATAN,8558.03
SULAWESI TENGGARA,1342.95
GORONTALO,742.22
SULAWESI BARAT,518.33
MALUKU,633.56
MALUKU UTARA,1018.52
PAPUA BARAT,667.98
PAPUA BARAT DAYA,-
PAPUA,1342.39
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,288435.75
